BioSample	% TeNT Alignment Coverage	Included in Alignment	Percentage identity to TeNT/E88 excluding gaps
SAMD00041000	100	Y	98.91
SAMD00041001	100	Y	98.86
SAMEA104281220	100	Y	99.95
SAMEA3486783	100	Y	98.61
SAMEA5847472	100	Y	98.94
SAMEA5847473	100	Y	98.58
SAMEA104281226	99.95	Y	99.9
SAMEA6661722	99.9	Y	98.8
SAMEA6661724	99.52	Y	98.83
SAMEA5847426	99.11	Y	99.39
SAMEA5847432	98.45	Y	99.87
SAMEA6661726	97.26	Y	98.91
SAMEA6490841	97.09	Y	99.24
SAMN02727821	94.22	Y	98.57
SAMEA104281221	92.5	Y	99.73
SAMEA3937653	92.38	Y	98.93
SAMN05991104	87.89	Y	99.05
SAMEA104281224	80.5	Y	99.12
SAMN02727818	79.86	Y	99.02
SAMEA104441581	79.46	Y	99.27
SAMEA104402285	74.92	N	99.09
SAMEA104281225	70.01	N	98.91
SAMEA104281219	62.99	N	99.39
SAMEA5054093	48.61	N	99.32
SAMN02799091	39.31	N	80.5
SAMEA103971604	25.94	N	91.72
SAMN02799089	21.53	N	74.43
SAMN12394113	18.52	N	93.55
SAMN06046901	3.5	N	96.35
SAMEA104233049	3.47	N	97.06
SAMEA6502100	3.47	N	99.26
SAMEA3486793	2.38	N	97.87
SAMEA3713711	1.17	N	97.78
SAMEA103957995	0	N	NA
SAMEA104548853	0	N	NA
SAMEA2810266	0	N	NA
SAMEA5764555	0	N	NA
SAMEA5847501	0	N	NA
