BioSample	% TeNT Alignment Coverage	Included in Alignment	Percentage identity to TeNT/E88 excluding gaps
SAMD00041000	1	Y	
SAMD00041001	1	Y	
SAMEA104281220	1	Y	
SAMEA3486783	1	Y	
SAMEA5847472	1	Y	
SAMEA5847473	1	Y	
SAMEA104281226	0.999493414	Y	
SAMEA6661722	0.998986829	Y	
SAMEA6661724	0.995187437	Y	
SAMEA5847426	0.991134752	Y	
SAMEA5847432	0.984549139	Y	
SAMEA6661726	0.972644377	Y	
SAMEA6490841	0.970871327	Y	
SAMN02727821	0.94224924	Y	
SAMEA104281221	0.925025329	Y	
SAMEA3937653	0.923758865	Y	
SAMN05991104	0.878926039	Y	
SAMEA104281224	0.804964539	Y	
SAMN02727818	0.798632219	Y	
SAMEA104441581	0.794579534	Y	
SAMEA104402285	0.749240122	N	
SAMEA104281225	0.700101317	N	
SAMEA104281219	0.62993921	N	
SAMEA5054093	0.486068896	N	
SAMN02799091	0.393110436	N	
SAMEA103971604	0.259371834	N	
SAMN02799089	0.215298886	N	
SAMN12394113	0.185157042	N	
SAMN06046901	0.034954407	N	
SAMEA104233049	0.034701114	N	
SAMEA6502100	0.034701114	N	
SAMEA3486793	0.023809524	N	
SAMEA3713711	0.011651469	N	
SAMEA103957995	0	N	
SAMEA104548853	0	N	
SAMEA2810266	0	N	
SAMEA5764555	0	N	
SAMEA5847501	0	N	
