BioSample ID	SRA Run IDs	Contient	Sample Name (Hodgins et al.)	Associated Publication	Original Sample Name	Tissue Sampled	Archaeological Site	Estimated latitude	Estimated longitude	Time Period (approx.)	Est. Midpoint date (CE/BCE)	Clade	damageLevel (acMAG)	damageLevel-mtDNA	Completeness	Contamination	SH	genome_size_bp	num_predicted_genes
SAMD00041000	"DRR046398, DRR046399, DRR046400, DRR046401, DRR046402, DRR046403, DRR046404, DRR046405"	Asia	Sanganji-A1-Tooth	https://pubmed.ncbi.nlm.nih.gov/27581845/	Sanganji_131421-3_A1	tooth; Left M2	Sanganji Shell Mound	37.87	140.91	2994 ± 19 BP	-1044	2	0.045104738	0.29292929	67.87	4.5	20	2221783	4936
SAMD00041001	"DRR046408, DRR046409"	Asia	Sanganji-A2-Tooth	https://pubmed.ncbi.nlm.nih.gov/27581845/	Sanganji_131421-3_A2	tooth; Left M1	Sanganji Shell Mound	37.87	140.91	2994 ± 19 BP	-1044	2	0.035776817	0.23748212	75.69	10.43	52.78	2478353	4554
SAMEA103957995	ERR1937833	Africa	Deir-Rifeh-KNIII-Tooth	https://doi.org/10.1016/j.jasrep.2017.12.025	KNIII	second left mandibular molar	Deir Rifeh Cemetery	27.0976	31.207	1985–1773 BCE	-1879	?	0.037563822	0.12216533	0	0	0	98795	163
SAMEA103971604	ERR1937835	Africa	Deir-Rifeh-KNII-Tooth	https://doi.org/10.1016/j.jasrep.2017.12.025	KNII	third left molar	Deir Rifeh Cemetery	27.0976	31.207	1985–1773 BCE	-1879	?	0.042938044	0	0	0	0	90556	142
SAMEA104233049	"ERR2112574, ERR2112575, ERR2112576, ERR2112577"	Europe	Augsburg-Tooth	https://doi.org/10.1016/j.cub.2017.10.025	1343UnTal85	Tooth	Augsburg-Haunstetten	48.3101	10.9218	4203 BP	-2253	X	0.17953996	0.14344816	59.82	5.56	5.56	1403868	1574
SAMEA104281219	ERR2112081	Africa	Tenerife-011-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun011	cementum-rich root tip of the teeth	Tenerife	28.2916	-16.6291	791.5 CE	791.5	2	0.084692267	0.17902947	5.31	0.02	0	222918	623
SAMEA104281220	ERR2111944	Africa	Tenerife-004-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun004	cementum-rich root tip of the teeth	Tenerife	28.2916	-16.6291	NA	NA	2	0.026582258	0.12064136	97.52	6.65	43.75	2837464	3134
SAMEA104281221	"ERR2111945, ERR2111946, ERR2111947, ERR2111948, ERR2111949, ERR2111950, ERR2111951"	Africa	GranCanaria-005-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun005	cementum-rich root tip of the teeth	Gran Canaria	27.9202	-15.5474	956 CE	956	1B	0.081016336	0.2568567	57.39	8.64	20.83	1789771	4053
SAMEA104281224	"ERR2112074, ERR2112075, ERR2112076, ERR2112077, ERR2112078, ERR2112079, ERR2112080"	Africa	GranCanaria-008-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun008	cementum-rich root tip of the teeth	Gran Canaria	27.9202	-15.5474	935.5 CE	935.5	Y	0.039607425	0.11564363	74.12	0.47	0	2299755	2612
SAMEA104281225	ERR2112091	Africa	Tenerife-012-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun012	cementum-rich root tip of the teeth	Tenerife	28.2916	-16.6291	621 CE	621	2	0.112934363	0.2038182	9.55	0	0	359275	996
SAMEA104281226	ERR2112098	Africa	Tenerife-013-Tooth	https://pubmed.ncbi.nlm.nih.gov/29107554/	gun013	cementum-rich root tip of the teeth	Tenerife	28.2916	-16.6291	NA	NA	2	0.056116028	0.21397124	92.22	6.71	45.45	2658811	4061
SAMEA104402285	ERR2204614	North America	Tepos_35-Tooth	https://pubmed.ncbi.nlm.nih.gov/29335577/	Tepos_35; individual 35	pulp chamber of teeth	"Teposcolula-Yucundaa; Mixteca Alta region, Oaxaca, Mexico"	17.5025	-97.467493	1545-1550 CE	1547.5	?	0.005050505	0.00435053	0	0	0	7229	22
SAMEA104441581	ERR2225784	Europe	Cueva_de_los_Lagos-Tooth	https://pubmed.ncbi.nlm.nih.gov/29531053/	"esp005, CL1"	tooth	Cueva_de_los_Lagos-Tooth	41.9625	-1.9937	Late Bronze Age	-1450	X	0.10737808	0.24514766	54.45	2.51	12.5	1295677	1634
SAMEA104548853	ERR2270785	South America	Yámana-Tooth	https://pubmed.ncbi.nlm.nih.gov/29632188/	IPY10	tooth	Yámana	-54.933333	-67.616667	895–725 BP	1140	X	0.066824717	0.08088771	58.93	2.48	0	1056239	1122
SAMEA2810266	ERR651004	Europe	Vác-Mummy-Tissue	https://pubmed.ncbi.nlm.nih.gov/25848958/	92-A1	left chest extract	"Vác, Hungary"	47.7842	19.1352	1787 CE	1787	X	0.00308024	0	44.49	1.24	66.67	1014655	1884
SAMEA3486783	"ERR966294, ERR966295, ERR966296, ERR966297, ERR966298, ERR966302, ERR966303, ERR966304, ERR966305, ERR966306, ERR966307, ERR966312, ERR966313"	South America	Chinchorro-Mummy-Bone	https://pubmed.ncbi.nlm.nih.gov/26198033/	Chinchorro	bone	Maderas Enco	-18.4783	-70.3126	5922-5756 BP	-3889	1H	0.060281868	0.17403113	64.11	11.24	41.38	2482565	4531
SAMEA3486793	ERR966426	North America	Pericues-BC28-Bone	https://pubmed.ncbi.nlm.nih.gov/26198033/	Pericues BC28	bone	"Piedra
Gorda"	23.6	-109.6	800-300 BP	1400	?	0.180684724	0.26237624	2.28	0	0	79188	160
SAMEA3713711	ERR1193532	Europe	Marseille-Tooth	https://pubmed.ncbi.nlm.nih.gov/26795402/	OBS107	teeth	"l’Observance in Marseille, France"	43.2965	5.3698	1720-1722 CE	1721	X	0.005275332	0.00222222	56.15	4.04	11.11	986355	1671
SAMEA3937653	ERR1368878	Europe	Barcelona-3031-Tooth	https://pubmed.ncbi.nlm.nih.gov/27281573/	Barcelona3031	tooth	"Saints Màrtirs Just i Pastor, Barcelona, Spain"	41.3874	2.1686	1300–1420 cal AD	1360	?	0.027149321	0.00334076	0	0	0	11238	29
SAMEA5054093	"ERR2862150, ERR2862151"	Europe	SLC-France-Tooth	https://pubmed.ncbi.nlm.nih.gov/30478041/	SLC1006; Saint-Laurent-de-la-Cabrerisse	teeth	Saint-Laurent-de-la-Cabrerisse	43.0845	2.7007	1348 CE	1348	2	0.186864148	0.30346308	43.53	9.87	38.89	1106919	2772
SAMEA5764555	ERR3426230	Europe	Karolva-Tooth	https://pubmed.ncbi.nlm.nih.gov/31594508/	kar1	one maxillary tooth (M3 sin)	"Karlova, Tartu, Estonia"	58.3715	26.7329	2440–2140 BCE	-2290	X	0.072278614	0.18783228	55.67	4.78	50	1364370	2094
SAMEA5847426	ERR4375049	Africa	Abusir1655-Tooth	https://pubmed.ncbi.nlm.nih.gov/32859198/	Abusir1655t	tooth	"Abusir el-Meleq, Middle Egypt"	29.9	31.2	cal BC 1211-1126	-1168.5	?	0.027430002	0.11111111	89.73	5.72	43.48	2288031	3793
SAMEA5847432	ERR4374869	Africa	Abusir1595-Tooth	https://pubmed.ncbi.nlm.nih.gov/32859198/	Abusir1595t	tooth	"Abusir el-Meleq, Middle Egypt"	29.9	31.2	cal BC 975-905	-940	?	0.022679015	0	81.77	7.92	21.43	2267327	3968
SAMEA5847472	ERR4375137	Africa	Abusir1668-Tooth	https://pubmed.ncbi.nlm.nih.gov/32859198/	Abusir1668t	tooth	"Abusir el-Meleq, Middle Egypt"	29.9	31.2	cal BC 357-206	-281.5	2	0.055735709	0.33333333	89.11	6.02	28.57	2671954	3848
SAMEA5847473	ERR4375141	Africa	Abusir1671-Tooth	https://pubmed.ncbi.nlm.nih.gov/32859198/	Abusir1671t	tooth	"Abusir el-Meleq, Middle Egypt"	29.9	31.2	cal BC 156-53	-104.5	1F	0.051727208	0	96.79	4.4	19.05	2714893	3312
SAMEA5847501	ERR4374914	Africa	Abusir1607-Tooth	https://pubmed.ncbi.nlm.nih.gov/32859198/	Abusir1607t	tooth	"Abusir el-Meleq, Middle Egypt"	29.9	31.2	cal AD 26-81	53.5	?	0.043785935	0	9.41	0	0	279604	787
SAMEA6490841	ERR3828670	Asia	Dacaozi-Tooth	https://pubmed.ncbi.nlm.nih.gov/32483115/	DCZM17IV	teeth	"Dacaozi site; Pingan county, Qinghai province."	36.5003	102.1085	50-150 CE	100	?	0.070981543	0.14723096	63.88	5.61	14.29	1833670	3814
SAMEA6502100	ERR3841646	Europe	Riga_Cemetery-Tooth	https://pubmed.ncbi.nlm.nih.gov/32884081/	G701	tooth	"Riga, Latvia"	56.958	24.1216	1601-1657 AD	1629	X	0.056695081	0.04440791	47.42	0	0	1318477	1520
SAMEA6661722	ERR4017942	South America	Chincha-UC12-12-Tooth	https://pubmed.ncbi.nlm.nih.gov/32661160/	UC12-12	tooth (molar)	"Chincha, Peru"	-13.476219	-76.016683	1415–1630 AD	1522.5	1H	0.016630417	0.04227987	94.69	9.53	36.11	2766525	3772
SAMEA6661724	ERR4017944	South America	Chincha-UC12-24-Tooth	https://pubmed.ncbi.nlm.nih.gov/32661160/	UC12-24	tooth (molar)	"Chincha, Peru"	-13.476219	-76.016683	1450–1640 AD	1545	1H	0.030056079	0.04893475	80.35	10.39	53.12	2573933	4250
SAMEA6661726	ERR4017946	South America	Chincha-UC8-8168-Tooth	https://pubmed.ncbi.nlm.nih.gov/32661160/	UC8-8168	tooth (molar)	"Chincha, Peru"	-13.477239	-76.025299	1490–1805 AD	1647.5	1H	0.017702475	0.05057674	75.66	9.49	17.86	2158909	4148
SAMN02727818	SRR1238558	South America	Chiribaya_Alta-Bone	https://pubmed.ncbi.nlm.nih.gov/25141181/	sample 54	archaeological bone sample	"Chiribaya Alta, Cemetery 1"	-17.635708	-71.293683	1028-1224 AD	1126	1H	0.019703235	0.02857143	3.41	0	0	184349	469
SAMN02727821	SRR1238559	South America	El_Yaral-Bone	https://pubmed.ncbi.nlm.nih.gov/25141181/	sample 64	archaeological bone sample	"El Yaral, Cemetery 2"	-17.1494	-70.9244	1158-1266 AD	1212	1H	0.021794832	0.1	55.91	5.25	15.38	1375759	2790
SAMN02799089	SRR1314212	South America	Peru-NA40-Bone	https://pubmed.ncbi.nlm.nih.gov/24568772/	NA40	human bone	"Laguna de los Condores, Peru"	-6.8488	-77.698	1000–1500 AD	1250	1H	0.019583843	0.03778188	5.15	0	0	117037	320
